subject,alpha_peak,beta_peak
sub-032454,10.333333333333332,20.666666666666664
sub-032455,9.666666666666666,19.0
sub-032456,8.333333333333332,19.0
sub-032457,9.0,18.0
sub-032458,10.333333333333332,20.333333333333332
sub-032459,10.666666666666666,20.666666666666664
sub-032460,10.0,20.333333333333332
sub-032462,9.0,18.0
sub-032464,10.0,20.0
sub-032467,11.0,22.0
sub-032468,10.666666666666666,21.333333333333332
sub-032469,10.0,19.333333333333332
sub-032470,9.0,17.333333333333332
sub-032471,10.333333333333332,21.0
sub-032472,11.333333333333332,22.333333333333332
sub-032473,10.333333333333332,21.0
sub-032474,8.333333333333332,16.666666666666664
sub-032475,9.666666666666666,19.0
sub-032476,11.0,21.333333333333332
sub-032477,11.0,21.666666666666664
sub-032479,8.333333333333332,16.666666666666664
sub-032480,9.0,20.0
sub-032481,9.666666666666666,20.0
sub-032486,8.666666666666666,18.333333333333332
sub-032487,10.333333333333332,21.0
sub-032489,9.333333333333332,19.0
sub-032490,9.0,18.0
sub-032493,9.666666666666666,19.0
sub-032494,8.0,16.333333333333332
sub-032495,10.0,20.666666666666664
sub-032496,8.0,16.333333333333332
sub-032497,10.333333333333332,20.666666666666664
sub-032499,10.666666666666666,20.0
sub-032501,9.333333333333332,19.0
sub-032502,9.0,18.333333333333332
sub-032503,10.666666666666666,22.666666666666664
sub-032504,10.333333333333332,21.0
sub-032505,9.333333333333332,19.333333333333332
sub-032506,11.666666666666666,23.0
sub-032507,9.666666666666666,19.333333333333332
sub-032508,9.666666666666666,20.333333333333332
sub-032509,10.333333333333332,20.666666666666664
sub-032510,11.333333333333332,22.0
sub-032512,9.333333333333332,18.666666666666664
sub-032513,9.333333333333332,19.0
sub-032514,11.0,17.0
sub-032515,8.333333333333332,16.666666666666664
sub-032516,9.666666666666666,19.666666666666664
sub-032517,10.333333333333332,20.333333333333332
sub-032518,9.333333333333332,18.666666666666664
sub-032522,11.0,22.0
sub-032523,10.0,20.666666666666664
sub-032524,9.666666666666666,19.0
sub-032525,11.0,22.333333333333332
sub-032526,10.0,18.666666666666664
sub-032528,10.333333333333332,20.666666666666664
